title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url,price_clean,area_clean,bedroom_clean,bathroom_clean,district,security_score,safety_score,cost_score,services_score,final_score
Casa en alquiler en Ur. El Sol De La Molina Etapa I,"Ur. El Sol De La Molina Etapa I, La Molina, Lima, Lima ","USD2,100",4 dormitorios,3 baños,300 m²,2006.0,S/.600,Casa,Alquiler,5 mar. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-c949-d3d9505eef72-a80394cd-b458-4587,7770.0,300.0,4,3,LA MOLINA,8.83,8.83,9.993,9.280000000000001,9.39
Apartamento en alquiler en Ur. Las Magnolias,"Ur. Las Magnolias, San Borja, Lima, Lima ",USD990,3 dormitorios,4 baños,220 m²,2004.0,S/.200,Apartamento,Alquiler,29 nov. 2022 - Publicado por DCITY Inmobiliaria   -  Denisse Soto & Asociados,https://www.properati.com.pe/detalle/14032-32-3be5-dc7126f4147b-2abb4f27-b4dc-40bb,3663.0,220.0,3,4,SAN BORJA,8.86,8.86,9.9955,9.2,9.38
Casa en alquiler en Ur. Los Halcones,"Ur. Los Halcones, Chaclacayo, Lima, Lima ","USD1,800",3 dormitorios,3 baños,624 m²,1988.0,S/.1,Casa,Alquiler,"Hace 5 días, 19 horas - Publicado por RE/MAX Lider-Luis Lancho Navas",https://www.properati.com.pe/detalle/14032-32-d3d9-cb66a168a494-76986cc-a2b3-40f9,6660.0,624.0,3,3,CHACLACAYO,9.48,9.48,9.997115384615384,7.96,9.38
Apartamento en alquiler en Ur. Chacarilla Santa Cruz,"Ur. Chacarilla Santa Cruz, San Isidro, Lima, Lima ","USD2,800",3 dormitorios,3 baños,240 m²,2019.0,"S/.1,900",Apartamento,Alquiler,"Hace 1 semana, 20 horas - Publicado por Büro Propiedades",https://www.properati.com.pe/detalle/14032-32-daf7-a61ccfc9fddd-bbd3af13-a20f-4159,10360.0,240.0,3,3,SAN ISIDRO,8.86,8.86,9.988333333333333,9.2,9.38
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ","USD2,600",3 dormitorios,3 baños,202 m²,2018.0,S/.650,Apartamento,Alquiler,"Hace 1 semana, 2 días - Publicado por Midori Kishimoto",https://www.properati.com.pe/detalle/14032-32-5fba-1ed6e7cb31f5-4c9a32a1-9c51-4215,9620.0,202.0,3,3,SAN ISIDRO,8.86,8.86,9.987128712871288,9.16,9.37
Apartamento en alquiler en Ur. Chacarilla Santa Cruz Zona Santa Isabel,"Ur. Chacarilla Santa Cruz Zona Santa Isabel, San Isidro, Lima, Lima ","USD1,500",3 dormitorios,3 baños,120 m²,2017.0,,Apartamento,Alquiler,28 feb. 2023 - Publicado por J&P Boutique Inmobiliaria Perú,https://www.properati.com.pe/detalle/14032-32-168a-e9b070553ad4-2ff1474c-8321-424a,5550.0,120.0,3,3,SAN ISIDRO,8.86,8.86,9.9875,9.12,9.36
Apartamento en alquiler en Ur. Oyague,"Ur. Oyague, Magdalena del Mar, Lima, Lima ",USD850,3 dormitorios,2 baños,76 m²,2019.0,S/.1,Apartamento,Alquiler,10 ene. 2023 - Publicado por Habitar,https://www.properati.com.pe/detalle/14032-32-5371-c8a8421cb383-68c9bee-a69f-4566,3145.0,76.0,3,2,MAGDALENA DEL MAR,9.26,9.26,9.988815789473684,8.3,9.36
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ","USD1,000",3 dormitorios,2 baños,72 m²,2022.0,S/.50,Apartamento,Alquiler,11 mar. 2023 - Publicado por GABRIEL PAREJA Agente Inmobiliario,https://www.properati.com.pe/detalle/14032-32-c085-3bebdd2ffe8f-65afbfe0-a99f-120d,3700.0,72.0,3,2,BARRANCO,9.17,9.17,9.98611111111111,8.42,9.35
Apartamento en alquiler en Ur. Risso,"Ur. Risso, San Isidro, Lima, Lima ","S/.3,000",3 dormitorios,3 baños,99 m²,2015.0,S/.400,Apartamento,Alquiler,"Hace 2 semanas, 6 días - Publicado por LOGRA Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-f36c-c7d962cf0c38-c5de7593-a00e-496a,3000.0,99.0,3,3,SAN ISIDRO,8.86,8.86,9.991809991809992,9.04,9.35
Casa en alquiler en Ur. Las Magnolias,"Ur. Las Magnolias, San Borja, Lima, Lima ","USD2,500",9 dormitorios,7 baños,416 m²,2000.0,,Casa,Alquiler,10 dic. 2022 - Publicado por Century 21 CTR,https://www.properati.com.pe/detalle/14032-32-6af0-e506e174bb10-d1c7a548-b416-39f6,9250.0,416.0,9,7,SAN BORJA,8.86,8.86,9.993990384615385,9.04,9.35
