title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url
Apartamento en alquiler en Ur. Ampliacion San Isidro,"Ur. Ampliacion San Isidro, San Isidro, Lima, Lima ","USD1,350",2 dormitorios,3 baños,118 m²,,S/.450,Apartamento,Alquiler,Hace 19 horas - Publicado por Isotta Lima Space,https://www.properati.com.pe/detalle/14032-32-6890-f865769e59e5-33a70a7-b900-4596
Apartamento en alquiler en Ur. Orrantia,"Ur. Orrantia, San Isidro, Lima, Lima ","USD1,150",3 dormitorios,3 baños,150 m²,2014,S/.550,Apartamento,Alquiler,27 feb. 2023 - Publicado por CARLA EMPERATRIZ NEIRA SILVA,https://www.properati.com.pe/detalle/14032-32-461c-73902c68c930-8798efc6-a195-4eba
Apartamento en alquiler en Ur. Valle Hermoso Este,"Ur. Valle Hermoso Este, Santiago de Surco, Lima, Lima ","S/.2,700",3 dormitorios,3 baños,90 m²,1988,S/.110,Apartamento,Alquiler,"Hace 2 semanas, 22 horas - Publicado por Boris Bobbio Stihl",https://www.properati.com.pe/detalle/14032-32-3c93-c38c986cab18-224bf99-b7d7-4b26
Apartamento en alquiler en Ur. Aurora,"Ur. Aurora, Miraflores, Lima, Lima ",USD950,3 dormitorios,3 baños,137 m²,,S/.100,Apartamento,Alquiler,7 mar. 2023 - Publicado por Isotta Lima Space,https://www.properati.com.pe/detalle/14032-32-f0b5-21943876338e-91bdb965-a2b7-4933
Apartamento en alquiler en Ur. Las Begonias,"Ur. Las Begonias, San Borja, Lima, Lima ","S/.2,800",2 dormitorios,2 baños,130 m²,2000,S/.1,Apartamento,Alquiler,"Hace 1 día, 11 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-b58-bd0c2e7f329e-6be1ebf1-b59f-4ab3
Apartamento en alquiler en Ur. San Antonio,"Ur. San Antonio, Miraflores, Lima, Lima ","USD1,350",3 dormitorios,3 baños,202 m²,2009,S/.490,Apartamento,Alquiler,Hace 21 horas - Publicado por HABITALE BIENES RAICES,https://www.properati.com.pe/detalle/14032-32-9ff3-ce5e76c79581-1ee20465-af64-48cc
Apartamento en alquiler en Sector 3,"Sector 3, Urb Santa Cruz, Provincia de Lima, Provincia de Lima ","USD1,400",3 dormitorios,2 baños,120 m²,,S/.480,Apartamento,Alquiler,16 mar. 2022 - Publicado por Isotta Lima Space,https://www.properati.com.pe/detalle/14032-32-f8ce-92dc956c6c7f-998fb3c8-849a-429b
Apartamento en alquiler en Ur. San Felipe,"Ur. San Felipe, Jesús María, Lima, Lima ",USD750,3 dormitorios,2 baños,,110 m²,,Apartamento,Alquiler,18 mar. 2023 - Publicado por   Moises Fernando  Torres  Tasso ,https://www.properati.com.pe/detalle/14032-32-2775-a0194f6a103a-d3d1c48e-b967-3827
Apartamento en alquiler en Ur. La Encantada,"Ur. La Encantada, Chorrillos, Lima, Lima ",USD700,2 dormitorios,2 baños,70 m²,2016,,Apartamento,Alquiler,12 mar. 2023 - Publicado por HABITALE BIENES RAICES,https://www.properati.com.pe/detalle/14032-32-c124-219a0c9f65f9-65612a70-80f5-120d
Casa en alquiler en Chorrillos,"Chorrillos, Lima, Lima ","USD1,500",4 dormitorios,3 baños,300 m²,2008,S/.100,Casa,Alquiler,8 mar. 2023 - Publicado por HABITALE BIENES RAICES,https://www.properati.com.pe/detalle/14032-32-2701-8bf41ef7ca67-31b6f77e-a5e5-4b75
Apartamento en alquiler en Miraflores,"Miraflores, Lima, Lima ","USD1,200",3 dormitorios,2 baños,160 m²,2005,,Apartamento,Alquiler,Hace 22 horas - Publicado por RE/MAX Principal pe,https://www.properati.com.pe/detalle/14032-32-c786-71a3c2c8981d-78ecb3d-9017-4e0f
Apartamento en alquiler en Urb los Patricios,"Urb los Patricios, Provincia de Lima, Municipalidad Metropolitana de Lima ",USD750,3 dormitorios,2 baños,110 m²,,S/.350,Apartamento,Alquiler,7 set. 2021 - Publicado por Tasso Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-e8f2-98b3113213ea-e23f945f-8ef1-4653
Apartamento en alquiler en Ur. Udima,"Ur. Udima, Magdalena del Mar, Lima, Lima ","S/.1,600",1 dormitorio,1 baño,42 m²,,S/.120,Apartamento,Alquiler,Hace 23 horas - Publicado por Infinito Novantanove E.I.R.L,https://www.properati.com.pe/detalle/14032-32-987-ee9d97c9b305-5f3d171b-9bd6-4c89
Apartamento en alquiler en Miraflores,"Miraflores, Lima, Lima ","USD1,200",3 dormitorios,2 baños,140 m²,2005,,Apartamento,Alquiler,"Hace 3 días, 22 horas - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-738-76e177df3cdd-bcc72e08-9b9e-4210
Oficina en alquiler en Ag. Angamos,"Ag. Angamos, Jesús María, Lima, Lima ","USD10,000",5 dormitorios,3 baños,1 Medio baño,1956,,Oficina,Alquiler,17 feb. 2023 - Publicado por  Yvonne Marie Claire Larrieu  Bellido ,https://www.properati.com.pe/detalle/14032-32-efd7-24af11066613-8676ee62-b1d6-352f
Apartamento en alquiler en San Isidro,"San Isidro, Lima, Lima ",USD680,1 dormitorio,1 baño,,58 m²,,Apartamento,Alquiler,17 feb. 2023 - Publicado por  Yvonne Marie Claire Larrieu  Bellido ,https://www.properati.com.pe/detalle/14032-32-e737-c7e6ae1b99c0-ccf1809e-b85d-315a
Casa en alquiler en Ur. La Chacrita,"Ur. La Chacrita, Cayma, Arequipa, Arequipa ","USD1,000",3 dormitorios,4 baños,283 m²,,,Casa,Alquiler,Hace 1 día - Publicado por Casafacil-Aqp,https://www.properati.com.pe/detalle/14032-32-de18-833f50f07203-d2d5aca0-9f09-120d
Apartamento en alquiler en Miraflores,"Miraflores, Arequipa, Arequipa ",S/.900,3 dormitorios,1 baño,70 m²,2020,,Apartamento,Alquiler,24 mar. 2023 - Publicado por RE/MAX Consultores Inmobiliarios Arequipa,https://www.properati.com.pe/detalle/14032-32-ef55-c537b5666a0f-94a34bbd-9337-41e3
Apartamento en alquiler en Ur. Risso,"Ur. Risso, San Isidro, Lima, Lima ",USD700,1 dormitorio,1 baño,53 m²,,S/.200,Apartamento,Alquiler,9 dic. 2022 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-ff26-f74353bf1430-96944880-9d1e-42cd
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ",USD550,2 dormitorios,1 baño,67 m²,2018,S/.180,Apartamento,Alquiler,16 feb. 2023 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-c5a2-ded6f74dff7-1ad4ac11-a46b-4a80
Apartamento en alquiler en Ur. Magisterial,"Ur. Magisterial, Arequipa, Arequipa, Arequipa ","S/.2,200",4 dormitorios,2 baños,100 m²,,,Apartamento,Alquiler,10 mar. 2023 - Publicado por CANDARES INMOBILIARIA,https://www.properati.com.pe/detalle/14032-32-518c-24f64788fad9-ae028749-8526-4856
Apartamento en alquiler en Ur. Leuro,"Ur. Leuro, Miraflores, Lima, Lima ","USD1,450",3 dormitorios,2 baños,175 m²,2014,S/.500,Apartamento,Alquiler,29 dic. 2022 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-213d-44b81e94700a-c8470f57-a4af-42e5
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ","USD1,300",3 dormitorios,3 baños,107 m²,2010,S/.440,Apartamento,Alquiler,22 mar. 2023 - Publicado por SERVICIOS INMOBILIARIOS,https://www.properati.com.pe/detalle/14032-32-45eb-df600df2dd08-b438f19f-8b1c-4f9a
Apartamento en alquiler en Ur. Leuro,"Ur. Leuro, Miraflores, Lima, Lima ",USD850,3 dormitorios,2 baños,125 m²,,,Apartamento,Alquiler,26 dic. 2022 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-31e5-f56cb44a69f3-1354c567-8e16-4287
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ",USD600,2 dormitorios,1 baño,62 m²,2008,S/.180,Apartamento,Alquiler,16 feb. 2023 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-3f3d-f2bebcd48f92-c0a2bb8-9d92-4487
Apartamento en alquiler en Surco,"Surco, Santiago De Surco, Lima, Lima ","USD1,500",4 dormitorios,4 baños,220 m²,2013,S/.550,Apartamento,Alquiler,14 mar. 2023 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-a6d5-20c6b8a2ce1e-f66195c6-9159-4417
Apartamento en alquiler en Ur. San Juan Sector D,"Ur. San Juan Sector D, San Juan de Miraflores, Lima, Lima ","S/.1,500",3 dormitorios,2 baños,135 m²,2012,,Apartamento,Alquiler,"Hace 2 semanas, 15 horas - Publicado por ASPRO asesores profesionales",https://www.properati.com.pe/detalle/14032-32-a476-79b47ed1304e-c52f3e0c-83b0-4973
Apartamento en alquiler en Ah. Moron,"Ah. Moron, Chaclacayo, Lima, Lima ",USD370,3 dormitorios,2 baños,85 m²,2011,,Apartamento,Alquiler,"Hace 2 semanas, 4 días - Publicado por Remax Diamond",https://www.properati.com.pe/detalle/14032-32-bf6-4f67af066e6e-38077caa-bf4e-4ed5
Casa en alquiler en Pimentel,"Pimentel, Chiclayo, Lambayeque ","S/.3,500",2 dormitorios,2 baños,300 m²,,,Casa,Alquiler,"Hace 2 semanas, 3 días - Publicado por Lula Botey Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-bc8a-abca1b501818-f08a385d-92e1-4a08
Casa en alquiler en Cieneguilla,"Cieneguilla, Lima, Lima ","USD1,500",3 dormitorios,3 baños,500 m²,2020,,Casa,Alquiler,2 mar. 2023 - Publicado por RE/MAX Principal pe,https://www.properati.com.pe/detalle/14032-32-b1d1-78ea9176119c-6f6e8d5e-a803-4590
Apartamento en alquiler en Urb Cercado de Miraflores,"Urb Cercado de Miraflores, Provincia de Lima, Provincia de Lima ","USD1,400",2 dormitorios,2 baños,111 m²,2005,,Apartamento,Alquiler,26 feb. 2022 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-2533-df88700c81f6-b4d70ba3-ba7a-40c7
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ","USD1,050",1 dormitorio,3 baños,125 m²,2018,S/.380,Apartamento,Alquiler,"Hace 1 día, 2 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-3972-d3764fd50aef-18593f76-9b9c-4b00
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",USD850,2 dormitorios,2 baños,84 m²,2012,S/.400,Apartamento,Alquiler,"Hace 1 día, 19 horas - Publicado por Intermediación Inmobiliaria – CHS",https://www.properati.com.pe/detalle/14032-32-fb0c-a754f883812a-3094fa58-8746-4ecb
Casa en alquiler en Ur. San Miguel,"Ur. San Miguel, San Miguel, Lima, Lima ","S/.2,600",3 dormitorios,2 baños,92 m²,1960,,Casa,Alquiler,"Hace 1 semana, 1 día - Publicado por MARIA ANTONIETA DEL CARMEN MESONES VILLACORTA",https://www.properati.com.pe/detalle/14032-32-d843-5774a2f2c8a6-65852c0-88c0-120d
Apartamento en alquiler en Ur. Barboncito,"Ur. Barboncito, Miraflores, Lima, Lima ","S/.3,000",2 dormitorios,3 baños,124 m²,2023,,Apartamento,Alquiler,16 mar. 2023 - Publicado por CISA INMOBILIARIA PERU ,https://www.properati.com.pe/detalle/14032-32-c45f-7b18758e5ce1-b24cba50-ba78-120d
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ","S/.2,300",1 dormitorio,1 baño,43 m²,2013,S/.230,Apartamento,Alquiler,"Hace 2 semanas, 6 días - Publicado por Javier Sánchez Agente Inmobiliario",https://www.properati.com.pe/detalle/14032-32-2e3e-91e3606e26b0-7b204094-a499-4655
Casa en alquiler en La Alborada,"La Alborada, Piura, Piura ","S/.2,000",1 dormitorio,2 baños,,65 m²,,Casa,Alquiler,17 ago. 2022 - Publicado por Inmuebles El Buho,https://www.properati.com.pe/detalle/14032-32-b1a4-141e2d3efda7-2073760d-b9b7-3912
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",USD700,3 dormitorios,3 baños,89 m²,2010,S/.400,Apartamento,Alquiler,"Hace 1 día, 12 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-c688-a2c18253d867-ed0b3a68-81f6-4631
Casa en alquiler en Ur. Los Halcones,"Ur. Los Halcones, Chaclacayo, Lima, Lima ","USD1,800",3 dormitorios,3 baños,624 m²,1988,S/.1,Casa,Alquiler,"Hace 5 días, 19 horas - Publicado por RE/MAX Lider-Luis Lancho Navas",https://www.properati.com.pe/detalle/14032-32-d3d9-cb66a168a494-76986cc-a2b3-40f9
Apartamento en alquiler en Ur. Chacarilla Santa Cruz,"Ur. Chacarilla Santa Cruz, San Isidro, Lima, Lima ",USD510,1 dormitorio,1 baño,55 m²,2022,,Apartamento,Alquiler,28 feb. 2023 - Publicado por SOCIOS INMOBILIARIOS,https://www.properati.com.pe/detalle/14032-32-3519-7da18e9db76c-950dc6a6-96bb-4320
Apartamento en alquiler en Ur. Libertad,"Ur. Libertad, San Miguel, Lima, Lima ","S/.1,800",3 dormitorios,2 baños,82 m²,2014,S/.250,Apartamento,Alquiler,2 ene. 2023 - Publicado por NNK PERU SAC,https://www.properati.com.pe/detalle/14032-32-e1dd-c79ca082f8be-4dbb2e9-a1b2-4f1f
Apartamento en alquiler en Cayma,"Cayma, Cerro Colorado, Arequipa, Arequipa ","S/.2,700",3 dormitorios,3 baños,110 m²,2022,S/.1,Apartamento,Alquiler,"Hace 1 día, 14 horas - Publicado por Sillar Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-e6c-17f3a73bbea4-7bdb039e-b98b-434f
Apartamento en alquiler en Ur. Libertad,"Ur. Libertad, San Miguel, Lima, Lima ","S/.2,800",2 dormitorios,2 baños,60 m²,2019,S/.200,Apartamento,Alquiler,17 mar. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-a2df-45c2a4a73015-f66a53b3-8bdb-4551
Apartamento en alquiler en Lince,"Lince, Lima, Lima ",USD700,1 dormitorio,1 baño,50 m²,,S/.200,Apartamento,Alquiler,"Hace 5 días, 12 horas - Publicado por KRB Agencia Perú",https://www.properati.com.pe/detalle/14032-32-f9a1-59304cbc4abd-2ea29ec4-ae54-4bf1
Oficina en alquiler en Ur. San Antonio,"Ur. San Antonio, Miraflores, Lima, Lima ","USD4,000",14 dormitorios,5 baños,,2003,,Oficina,Alquiler,"Hace 1 día, 20 horas - Publicado por Lucia Chocano De Caravedo",https://www.properati.com.pe/detalle/14032-32-b1f5-b591e09c80c1-b0cdbdb4-9434-3279
Apartamento en alquiler en Ur. Chiclin,"Ur. Chiclin, La Perla, Callao, Callao ","S/.2,500",1 dormitorio,1 baño,41 m²,2017,S/.110,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por RE/MAX POWER EXPO",https://www.properati.com.pe/detalle/14032-32-ad1d-785898301fed-9ac796d5-971b-4ce2
Casa en alquiler en Chorrillos,"Chorrillos, Lima, Lima ","USD2,800",4 dormitorios,3 baños,"1,021 m²",,,Casa,Alquiler,19 feb. 2023 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-1992-b9cf4f7511fa-5cf73bb8-a1f2-4f14
Apartamento en alquiler en Ur. Valle Hermoso Oeste,"Ur. Valle Hermoso Oeste, Santiago de Surco, Lima, Lima ","USD4,300",5 dormitorios,5 baños,470 m²,2014,"S/.1,500",Apartamento,Alquiler,Hace 1 semana - Publicado por Büro Propiedades,https://www.properati.com.pe/detalle/14032-32-fa13-113ebd37d42e-86027943-8493-461b
Apartamento en alquiler en Ur. Armendariz,"Ur. Armendariz, Miraflores, Lima, Lima ",USD950,3 dormitorios,3 baños,180 m²,1983,S/.450,Apartamento,Alquiler,"Hace 1 día, 17 horas - Publicado por KRB Agencia Perú",https://www.properati.com.pe/detalle/14032-32-ae0a-93af099556a3-5340ad5b-b68c-4891
Apartamento en alquiler en Ur. Los Recaudadores,"Ur. Los Recaudadores, Ate, Lima, Lima ","S/.1,680",2 dormitorios,2 baños,80 m²,,,Apartamento,Alquiler,2 mar. 2023 - Publicado por REMAX AHORA,https://www.properati.com.pe/detalle/14032-32-14f5-3be8dde1af74-4894436e-b031-46c2
Apartamento en alquiler en Surquillo,"Surquillo, Provincia de Lima, Provincia de Lima ","USD350,000",2 dormitorios,2 baños,127 m²,2020,S/.550,Apartamento,Alquiler,2 jun. 2022 - Publicado por Verónica Arosemena,https://www.properati.com.pe/detalle/14032-32-9c51-923a5e9a2bb0-572d30e1-bb48-4b6d
Apartamento en alquiler en San Martín de Porres,"San Martín de Porres, Lima, Lima ","S/.1,100",3 dormitorios,2 baños,140 m²,,,Apartamento,Alquiler,"Hace 1 semana, 5 días - Publicado por Sheriel Herrera",https://www.properati.com.pe/detalle/14032-32-814e-be153ea6d77d-8672b741-bb51-4706
Apartamento en alquiler en Ur. San Miguel,"Ur. San Miguel, San Miguel, Lima, Lima ","S/.1,100",2 dormitorios,1 baño,45 m²,2023,,Apartamento,Alquiler,"Hace 2 semanas, 7 horas - Publicado por Encontré tu Hogar",https://www.properati.com.pe/detalle/14032-32-d3a8-d15c0189ad19-51f02900-856d-120d
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ","USD1,450",3 dormitorios,2 baños,200 m²,,S/.550,Apartamento,Alquiler,"Hace 1 semana, 6 días - Publicado por Isotta Lima Space",https://www.properati.com.pe/detalle/14032-32-ba63-65b75289d07c-bef2657c-8d03-451e
